股票名称,行业板块,股票代码,持仓比例,链接地址
禾盛新材,家用电器,SZ002290,100,http://xueqiu.com/P/ZH161584
紫光股份,计算机,SZ000938,97.6,http://xueqiu.com/P/ZH000826
大众公用,非银金融,SH600635,0.82,http://xueqiu.com/P/ZH000826
张江高科,房地产,SH600895,1.03,http://xueqiu.com/P/ZH000826
汉麻产业,纺织服装,SZ002036,0.99,http://xueqiu.com/P/ZH115767
中泰桥梁,建筑装饰,SZ002659,100,http://xueqiu.com/P/ZH003288
江淮汽车,汽车,SH600418,1.75,http://xueqiu.com/P/ZH228157
上海绿新,轻工制造,SZ002565,13.5,http://xueqiu.com/P/ZH228157
禾盛新材,家用电器,SZ002290,84.75,http://xueqiu.com/P/ZH228157
东莞控股,交通运输,SZ000828,0.75,http://xueqiu.com/P/ZH079629
神剑股份,化工,SZ002361,99.25,http://xueqiu.com/P/ZH079629
国金证券,非银金融,SH600109,0.94,http://xueqiu.com/P/ZH217723
深圳华强,商业贸易,SZ000062,99.06,http://xueqiu.com/P/ZH217723
国金证券,非银金融,SH600109,1.63,http://xueqiu.com/P/ZH157153
内蒙君正,化工,SH601216,0.6,http://xueqiu.com/P/ZH157153
深圳华强,商业贸易,SZ000062,97.77,http://xueqiu.com/P/ZH157153
